CEARES,PORTUGUES
INTIMAR,implicar;provocar;insultar
INVOCADO,Corajoso
ISPRITADO,Enfurecido
JABURU,feita
JARARACA,cobra;venenosa;faladeiras;briguentas
JERIMUM,Abóbora
JOÃO-NINGUÉM,sem expressão;insignificante;rola-bosta
JOGAR NO MATO,lixo
JUDIAR,Maltratar;torturar
JURURU,Acabrunhado;encabulado;abatido;envergonhado;cabisbaixo
LABIRINTO,Arte;tecido
LERIADO,Conversa;fiada
LETRECA,Cafona;velha
LISO,sem dinheiro;looser
LORÉU,Carro;Velho
LUNDU,Mal humor
MACHO RÉI,cara;amigo
MAGOTE,Bando;grupo
MALAMANHADO,Mal vestido;desajeitado
MALDAR,Interpretar;mau sentido
MANGAR,Ridicularizar
MÃO DE VACA,Cozido;canela;Murrinha;miserável;fominha
MARMOTA,estranha
MEIOTA,garrafa;cachaça
MELADO,Bêbado
MERENDAR,Lanchar
MEROL,Bebida
MEUZÓVO,discórdia;ova
MININO RÉI AMARELO,Criança;chata
MIOLO DE POTE,sem importância
MOÇA,Virgem
MÔCO,Surdo;Mouco
MÓI DE CHIFRE,Corno
MORRER DE ...,Cansar
MUGUNZÁ,Comida;milho;leite;açúcar;canela
MUNDIÇA,pobre;plebe
MURIÇOCA,Pernilongo
MÚSICA PRA QUEM TEM MÃE NA ZONA,Música;brega
NÃO DÁ UM PREGO NUMA BARRA DE SABÃO,preguiçoso
NOME FEIO,Palavrão
NUM FRESQUE NÃO!,brincadeira
PAI D´ÉGUA,Porreta;legal;bacana
PAIA,brega;peba
PAMONHA,bolo;milho;tola;trouxa
PANELADA,Prato;tripa;bucho;boi
PÃO D´ÁGUA,Pão;massa;Bengala
PÃO SOVADO,Pão;massa
PÃO-DURO,Sovina;avaro;avarento;miserável;migalheiro;pica-fumo;muquirana;unha-de-fome;morrinha;seguro;zuraco;pão-duro;tranca;esganado;agarrado;mão-de-vaca;mão-fechada
PAPANGU,fantasiada;Abestado;tolo;otário
PAPEIRA,Caxumba
PAPEL DE ENROLAR PREGO,grosseira
PAPOCO,Explosão;estrondo
PARRUDO,Forte;musculoso
PASSARIM,passarinho
PASSARINHA,Baço;boi
PASTINHA,Franja
PASTORAR,Vigiar;espreitar
PAU DA VENTA,Nariz
PAU-DE-ARARA,pau;transportar;galinhas;Caminhão;tortura
PÉ DE MOLEQUE,Bolo;rapadura;castanhas;caju
PÉ DE PAU,Arvore
PÉ DE PLANTA,Arbusto
PEBA,má qualidade;feio;mau gosto
PEBADO,lascado;fudido;liquidado;perdido
PEDIR PENICO,Desistir;coragem;força
PEDUVIDO,Orelha
PEGANDO SIRI,Calças;tornozelo
PEGAR PELA BITACAS,Agarrar;bater
PEGAR TAINHA,Cochilar;sono
PEI BUFO,Imediatamente;ato
PEIA,Surra;sova;pisa;derrota
PEIDÃO,frouxo;medroso
PEIDO AZEDO,desagradável;sem graça;enjoada
PEITICA,sorte;agouro
PEIXADA,Peixe;cozido;legumes;ovos
PELA MADRUGADA,espanto
PELEJAR,Tentar;exaustivamente
PENSO,Torto
PENTEADEIRA DE PUTA,Enfeitado
PERAINDA,Espere;pouco
PEREBA,erupções;pele
PEREBENTO,erupções;pele;Curubento
PEROBA,Homossexual;baitola;viado
PETELECO,chute;fraco
PICARDIA,Esperteza;sagacidade;Elegância
PILORA,Falecimento
PIMBA,Órgão;sexual;masculino
PIMBADA,relações;sexuais
PINAR,encostando;sensual
PINDAÍBA,Pobreza;liseira
PINÓIA,eufemismo;palavrão
PINOTE,Salto;repentino
PINTA,Órgão;sexual;masculino;aparência
PINTOSO,bonito;pinta
PIOCERÁ,irreverência;Piaui;Ceará
PIOCERÃO,Piauí;Ceará;Maranhão
PIROCA,Órgão;sexual;masculino;chulo
PISA,Chibatada
PITÉU,Mulher;jovem;bonita;boa
POR CIMA DA CARNE-SECA,mando;financeiramente
PORRA-LOUCA,Irresponsável;besteira
PORRETA,Bom;excelente
PREGO EM BARRA DE SABÃO,fácil
PRESEPADA,Palhaçada;Confusão;Boneco;ridícula
PRESEPEIRO,Espalhafatoso;escandaloso
PROVOCAR,Vomitar
PUNHETA,Masturbação;bronha
PUNHETEIRO,masturbar-se
PUTAMERDA,espanto;incredulidade;chateação
PUTARAL,putas;quenguebal
PUTARIA GROSSA,Esculhambação;anarquia;desordem;imoralidade
PUTO DA VIDA,irritado;enfurecido
QUARTINHA,Jarro;barro;água
QUARTOTA,aguardente;celular
QUEBRANTE,Mau olhado;agouro
QUEIMA RAPARIGAL!,Grito;guerra;incentivo
QUEM GUARDA COM FOME O GATO VEM E COME,inutilidade;guardar
QUEM NÃO PODE COM O POTE NÃO PEGA NA RODILHA,sustentar;tentar
QUENGA,prostituta;ofensivo;Puta
QUENGO,Cabeça
QUENGUEBAL,quengas;mulheres
QUINTURA,legal;competente;gente boa;Calor;mormaço
RABIÇACA (DAR UMA RABIÇACA),rosto;desprezo
RABICHOLA,Rabo;buchanca;bunda
RABUGENTA,ranzinza;impertinente;zangada
RACHA,Pelada;futebol
RAPAZ,tratamento;homem;mulher;cachorro;criança
RATA,Gafe
REBOLAR,Jogar;atirar
REBOLAR NO MATO,Jogar;atirar
REBORREIA,Resto
REIADA,Pisa;tapa;surra;lapada
REIMOSO,carregado
RELAR,tocar;leve;sensual
REMELA,Secreção;ocular
RENDA,Malha;fios;roupa;toalhas
RESPEITE!,admiração
REZINA,Sovina;avaro;avarento;miserável;migalheiro;pica-fumo;muquirana;unha-de-fome;morrinha;seguro;zuraco;pão-duro;tranca;esganado;agarrado;mão-de-vaca;mão-fechada
ROER A CORDA,Desistir;prometeu
ROLA-BOSTA,sem expressão;insignificante;João ninguém;inseto
ROLADA,cagaço
ROSCOFE,Relógio;má qualidade
RUELA,Anel;carretel
RUMA,monte;quantidade
SABACÚ,cascudo;Surra
SAI DO MÊI,frente
SALIENTE,enxerida;intrometida;metida;conquistadora
SALSEIRO,Confusão
SANDUBA,Sanduíche
SANGUE NO OLHO,valente
SAPECAR (VERBO),Jogar;atirar;energicamente;Assar
SARRABULHO,Sarapatéu;comida;sangue;fígado;rins;vísceras
SE ABRIR,Sorrir;rir
SE MELAR,embriagado;bêbedo;bêbo;cheio-dos-paus;trubiscado;bunitim
SEBO NAS CANELAS,sair;correr;fugindo
SEM FUTURO,Mau negócio;despreparada
SENTINA,Vaso;sanitário;banheiro
SEU MENINO,tratamento;desconhecidos
SEU ZÉ,tratamento;desconhecidos
SIBITE,Passarinho;pequeno;mirrado
SIBITE BALEADO,menino;magro
SIMANCOL,Remédio;imaginário;mancada;gafe
SÓ O BURACO E A CATINGA,dismilinguida;gripe
SÓ O MI,boa
SÓ O MI DISBUIADO,especial;milho;debulhado
